date,main_1,main_2,main_3,main_4,main_5,main_6,noroc
2008-03-30,5,31,42,43,45,46,
2008-04-13,5,11,16,17,26,39,
2008-04-27,11,19,30,35,36,43,
2008-05-11,16,19,26,33,38,45,
2008-05-25,3,4,9,19,39,49,
2008-06-08,6,8,17,25,32,33,
2008-06-22,10,25,32,35,36,48,
2008-07-06,2,5,7,18,19,20,
2008-07-20,7,9,31,42,43,47,
2008-08-03,5,8,9,18,46,48,
2008-08-17,34,35,37,41,46,47,
2008-08-31,4,12,13,20,26,38,
2008-09-14,5,11,14,21,34,35,
2008-09-28,16,17,21,24,32,48,
2008-10-12,1,3,4,24,33,48,
2008-10-26,18,32,34,40,46,49,
2008-11-09,2,10,11,22,33,45,
2008-11-23,5,6,8,27,30,48,
2008-12-07,3,13,22,27,34,41,
2008-12-28,7,8,22,28,36,39,
2009-01-11,1,11,21,22,30,46,
2009-01-25,4,5,14,23,29,39,
2009-02-08,5,6,25,31,33,49,
2009-02-22,3,9,15,20,39,46,
2009-03-08,1,9,20,24,26,48,
2009-03-22,14,21,27,39,45,47,
2009-04-05,2,8,15,22,36,37,
2009-04-19,1,2,28,36,38,42,
2009-05-03,4,6,15,25,34,38,
2009-05-17,11,19,24,30,38,46,
2009-05-31,12,22,24,28,36,38,
2009-06-14,3,10,13,24,47,48,
2009-06-28,8,10,16,31,33,38,
2009-07-05,2,18,22,39,41,44,
2009-07-12,4,6,20,22,25,44,
2009-07-19,13,15,21,27,42,49,
2009-07-26,24,27,28,36,41,43,
2009-08-02,8,13,30,33,38,46,
2009-08-09,4,7,11,20,26,45,
2009-08-16,5,7,23,36,44,47,
2009-08-23,4,5,9,11,16,18,
2009-08-30,19,28,30,45,46,48,
2009-09-06,2,18,26,30,44,48,
2009-09-13,1,31,33,34,43,44,
2009-09-20,6,16,22,41,43,48,
2009-09-27,1,2,3,5,22,46,
2009-10-04,1,7,23,32,44,45,
2009-10-11,3,9,10,22,27,48,
2009-10-18,6,10,15,26,37,49,
2009-10-25,7,12,30,31,39,46,
2009-11-01,7,15,25,31,35,37,
2009-11-08,8,13,15,23,36,43,
2009-11-15,13,29,37,41,43,47,
2009-11-22,4,23,34,40,48,49,
2009-11-29,4,12,32,35,43,46,
2009-12-06,2,4,6,13,41,44,
2009-12-13,9,36,37,39,41,49,
2009-12-20,4,16,28,39,43,47,
2009-12-31,10,22,23,27,35,48,
2010-01-07,7,24,27,35,40,46,
2010-01-14,7,9,17,31,40,47,
2010-01-21,1,5,22,23,25,27,
2010-01-28,3,7,11,18,33,45,
2010-02-04,5,14,16,24,33,44,
2010-02-11,7,13,17,27,42,43,
2010-02-18,16,17,19,24,32,37,
2010-02-25,5,13,20,26,43,47,
2010-03-04,5,8,16,20,23,25,
2010-03-11,6,17,27,33,34,45,
2010-03-18,1,2,12,21,24,41,
2010-03-25,1,7,19,22,23,44,
2010-04-01,7,9,15,19,25,47,
2010-04-08,9,31,32,36,45,48,
2010-04-15,12,13,35,36,37,46,
2010-04-22,1,8,22,29,36,44,
2010-04-29,15,19,22,26,34,43,
2010-05-06,7,15,23,28,31,43,
2010-05-13,5,9,12,21,24,37,
2010-05-20,3,4,8,33,46,47,
2010-05-27,1,15,30,34,44,49,
2010-06-03,1,9,13,16,25,33,
2010-06-10,17,20,22,28,44,46,
2010-06-17,15,32,35,36,42,48,
2010-06-24,12,13,30,44,47,49,
2010-07-01,1,27,34,35,36,38,
2010-07-08,6,7,10,11,13,43,
2010-07-15,1,12,14,26,34,49,
2010-07-22,4,6,12,29,33,42,
2010-07-29,1,3,23,41,42,49,
2010-08-05,1,14,16,24,27,31,
2010-08-12,4,14,20,33,37,42,
2010-08-19,14,17,23,34,38,42,
2010-08-26,6,9,20,24,36,38,
2010-09-02,9,15,28,29,38,45,
2010-09-09,7,18,26,35,44,49,
2010-09-16,5,6,12,13,41,47,
2010-09-23,7,15,25,30,31,39,
2010-09-30,4,7,12,30,40,48,
2010-10-07,5,6,26,36,38,39,
2010-10-14,3,6,13,20,23,43,
2010-10-21,8,18,19,31,38,45,
2010-10-28,5,13,20,22,27,43,
2010-11-04,1,18,19,22,38,39,
2010-11-11,5,8,9,11,22,45,
2010-11-18,5,7,9,11,15,29,
2010-11-25,2,11,28,42,43,48,
2010-12-02,1,4,5,23,39,47,
2010-12-09,25,31,32,39,47,48,
2010-12-16,1,33,37,42,43,45,
2010-12-23,13,14,19,24,25,41,
2010-12-31,5,8,9,33,34,36,
2011-01-06,7,13,17,24,25,38,
2011-01-13,18,21,29,41,45,47,
2011-01-20,7,9,11,25,34,45,
2011-01-27,5,9,27,29,30,34,
2011-02-03,4,15,18,24,31,35,
2011-02-10,14,23,29,30,33,37,
2011-02-17,1,5,21,24,28,33,
2011-02-24,8,11,15,19,31,46,
2011-03-03,7,9,26,35,39,44,
2011-03-10,9,12,14,20,35,48,
2011-03-17,3,6,18,35,36,48,
2011-03-24,9,27,28,29,30,40,
2011-03-31,1,4,17,27,31,32,
2011-04-07,4,8,9,12,35,37,
2011-04-14,2,13,23,30,37,45,
2011-04-23,3,5,6,9,34,36,
2011-04-28,4,7,10,12,23,40,
2011-05-05,4,11,35,38,39,40,
2011-05-12,1,2,11,25,39,41,
2011-05-19,3,9,13,20,23,32,
2011-05-26,1,2,7,9,18,29,
2011-06-02,10,13,19,32,35,39,
2011-06-09,6,17,32,34,39,43,
2011-06-16,2,10,17,20,41,46,
2011-06-23,10,22,32,36,38,49,
2011-06-30,19,28,42,44,48,49,
