date,main_1,main_2,main_3,main_4,main_5,joker,noroc_plus
2022-04-17,2,8,19,20,26,16,
2022-04-28,6,16,26,35,43,5,
2022-05-05,2,4,29,30,38,12,
2022-05-12,9,14,18,31,44,15,
2022-05-19,17,24,34,39,42,15,
2022-05-26,2,3,16,21,39,17,
2022-06-02,3,14,20,23,28,9,
2022-06-09,1,10,11,21,45,6,
2022-06-16,10,17,19,31,43,9,
2022-06-23,3,10,21,22,45,15,
2022-06-30,7,14,19,22,26,17,
2022-07-07,6,7,8,14,37,13,
2022-07-14,18,20,29,39,41,16,
2022-07-21,11,22,37,38,39,4,
2022-07-28,2,17,21,27,42,2,
2022-08-04,8,23,25,31,39,1,
2022-08-11,5,9,16,22,43,1,
2022-08-18,5,26,39,40,43,19,
2022-08-25,5,8,15,24,34,14,
2022-09-01,5,19,22,28,29,12,
2022-09-08,3,16,20,28,38,20,
2022-09-15,3,15,17,33,34,9,
2022-09-22,1,16,25,26,43,15,
2022-09-29,14,26,28,33,38,20,
2022-10-06,5,7,28,36,40,10,
2022-10-13,12,14,24,31,39,13,
2022-10-20,16,29,34,42,45,10,
2022-10-27,6,8,15,25,34,1,
2022-11-03,15,26,28,36,42,15,
2022-11-10,13,31,38,40,44,10,
2022-11-17,4,16,26,27,29,16,
2022-11-24,1,8,28,39,45,17,
2022-12-04,8,17,18,19,41,8,
2022-12-11,2,13,19,27,28,19,
2022-12-18,1,8,28,29,44,15,
2022-12-31,3,11,16,30,35,19,
2023-01-05,10,21,26,35,36,18,
2023-01-12,3,7,20,37,44,13,
2023-01-19,6,9,14,38,45,12,
2023-01-26,2,14,19,20,44,11,
2023-02-02,2,3,7,13,16,15,
2023-02-09,9,19,20,28,30,9,
2023-02-16,4,19,20,36,44,20,
2023-02-23,6,8,11,15,37,17,
2023-03-02,7,8,11,31,38,9,
2023-03-09,4,18,22,30,43,16,
2023-03-16,3,23,26,30,44,15,
2023-03-23,7,15,19,33,36,16,
